232: ArjunAtwal -0.621549; 90% interval: (-1.166073, -0.034234)
233: ChrisHeinz -0.596853; 90% interval: (-2.554710, 1.752764)
234: NathanSmith -0.591870; 90% interval: (-2.338567, 1.042820)
235: LucasGlover -0.583262; 90% interval: (-1.154801, -0.030401)
236: D.J.Brigman -0.576312; 90% interval: (-1.131277, 0.029564)
237: J.P.Hayes -0.571438; 90% interval: (-1.178476, -0.042042)
238: BobbyKalinowski -0.557562; 90% interval: (-2.622383, 1.577539)
239: DavidFrost -0.551250; 90% interval: (-1.102148, 0.003194)
240: RicardoGonzalez -0.549694; 90% interval: (-2.364438, 0.968266)
241: ParkerMcLachlin -0.545695; 90% interval: (-2.682980, 1.671380)
242: JimCarter -0.542044; 90% interval: (-1.247917, 0.155230)
243: MattHendrix -0.539056; 90% interval: (-2.170102, 1.228261)
244: JackNicklaus -0.533805; 90% interval: (-2.336116, 1.130395)
245: MichelleWie -0.529046; 90% interval: (-2.694839, 1.542870)
246: PatBates -0.527369; 90% interval: (-1.034134, 0.008728)
247: TjaartvanderWalt -0.526421; 90% interval: (-1.486738, 0.446891)
248: DavidIshii -0.523376; 90% interval: (-2.753955, 1.433761)
249: JasonGore -0.513737; 90% interval: (-2.585064, 1.510702)
250: AndrewTschudin -0.507406; 90% interval: (-2.430899, 1.556791)
251: EdwardLoar -0.504011; 90% interval: (-2.793733, 1.566728)
252: EricAxley -0.502306; 90% interval: (-2.401636, 1.650555)
253: PatrickDamron -0.501869; 90% interval: (-2.839725, 1.736788)
254: ErikCompton -0.490148; 90% interval: (-1.990307, 1.258180)
255: DanForsman -0.490127; 90% interval: (-1.129236, 0.147448)
256: DavidRoesch -0.485747; 90% interval: (-2.328554, 1.172936)
257: BradSutterfield -0.477732; 90% interval: (-2.464542, 1.806732)
258: LenMattiace -0.473204; 90% interval: (-1.013587, 0.082141)
259: JohnElliott -0.463309; 90% interval: (-2.599897, 1.608880)
260: NickWatney -0.462459; 90% interval: (-2.495934, 1.718984)
261: JoelEdwards -0.456979; 90% interval: (-1.356399, 0.502686)
262: BradBryant -0.446558; 90% interval: (-1.765289, 0.890514)
263: KevinStadler -0.435550; 90% interval: (-1.590167, 0.896744)
264: ChrisStroud -0.435502; 90% interval: (-2.507392, 1.647967)
265: BradleyHughes -0.429409; 90% interval: (-2.738214, 1.723640)
266: DanOlsen -0.427414; 90% interval: (-1.016777, 0.119661)
267: StevePate -0.425773; 90% interval: (-1.044724, 0.121766)
268: AaronBarber -0.425304; 90% interval: (-1.135492, 0.364996)
269: HalSutton -0.424908; 90% interval: (-1.117454, 0.213442)
270: ToshiIzawa -0.420600; 90% interval: (-2.079647, 1.293815)
271: RolandThatcher -0.416706; 90% interval: (-1.002081, 0.200569)
272: ScottDrummond -0.415132; 90% interval: (-2.028506, 1.211919)
273: ZaneZwemke -0.411810; 90% interval: (-2.290659, 1.602609)
274: GarrettWillis -0.411425; 90% interval: (-1.098004, 0.415913)
275: MattSeppanen -0.408919; 90% interval: (-2.473088, 1.883623)
276: BoydSummerhays -0.396857; 90% interval: (-1.441437, 0.583834)
277: TrippIsenhour -0.388677; 90% interval: (-1.029160, 0.259029)
278: GlenHnatiuk -0.379199; 90% interval: (-1.406384, 0.591657)
279: TimWeinhart -0.372079; 90% interval: (-2.704564, 1.535254)
280: BarryLane -0.363677; 90% interval: (-2.523525, 1.747287)
281: CliffKresge -0.362626; 90% interval: (-0.844883, 0.210786)
282: JoelKribel -0.359475; 90% interval: (-1.221377, 0.492494)
283: AdamMeyer -0.355555; 90% interval: (-2.426404, 1.881557)
284: MichaelBradley -0.346769; 90% interval: (-1.391384, 0.790818)
285: VanceVeazey -0.342933; 90% interval: (-2.442021, 1.616638)
286: KeithFergus -0.339056; 90% interval: (-2.403104, 1.701164)
287: RogerTambellini -0.331572; 90% interval: (-0.867330, 0.272896)
288: DonPooley -0.324436; 90% interval: (-2.313415, 1.671025)
289: ScottHend -0.321696; 90% interval: (-0.962350, 0.181778)
290: RichBarcelo -0.314249; 90% interval: (-0.990467, 0.324992)
291: ThomasBjorn -0.301405; 90% interval: (-1.279083, 0.669573)
292: TomCarter -0.294824; 90% interval: (-0.814312, 0.214857)
293: TimConley -0.284093; 90% interval: (-2.617135, 1.796270)
294: AndreStolz -0.277771; 90% interval: (-0.950734, 0.363508)
295: ScottSimpson -0.273459; 90% interval: (-0.977728, 0.424680)
296: RickyBarnes -0.258266; 90% interval: (-1.326877, 0.699894)
297: RonCastillo,Jr. -0.255940; 90% interval: (-2.479390, 2.099681)
298: ChrisNallen -0.248953; 90% interval: (-1.726253, 1.310753)
299: TomWatson -0.235449; 90% interval: (-2.015027, 1.277386)
300: KeiichiroFukabori -0.222635; 90% interval: (-1.547724, 1.078104)
301: DavidBranshaw -0.217626; 90% interval: (-0.776429, 0.274822)
302: JyotiRandhawa -0.209592; 90% interval: (-2.542664, 1.672073)
303: JimBenepe -0.197268; 90% interval: (-2.058181, 1.486743)
304: BrianKortan -0.192147; 90% interval: (-0.815127, 0.409945)
305: VictorSchwamkrug -0.188480; 90% interval: (-2.164107, 1.740844)
306: ScottDunlap -0.186813; 90% interval: (-2.303944, 2.081838)
307: BrandtSnedeker -0.186113; 90% interval: (-1.106073, 0.727916)
308: ScottWeatherly -0.185760; 90% interval: (-2.294902, 1.932427)
309: CarlPaulson -0.177838; 90% interval: (-1.049632, 0.725777)
310: CaseyWittenberg -0.173949; 90% interval: (-1.042423, 0.637393)
311: CharletonDechert -0.163783; 90% interval: (-2.276063, 1.838004)
312: BlaineMcCallister -0.163771; 90% interval: (-0.704780, 0.459424)
313: Lian-WeiZhang -0.162080; 90% interval: (-1.742583, 1.276383)
314: AndrewMcLardy -0.144171; 90% interval: (-1.859961, 1.484807)
315: KrisCox -0.141634; 90% interval: (-0.755660, 0.428165)
316: NickGilliam -0.137649; 90% interval: (-2.280538, 1.832479)
317: BillBritton -0.137521; 90% interval: (-1.976067, 1.737791)
318: MikeHeinen -0.132167; 90% interval: (-0.847085, 0.612348)
319: MarcGirouard -0.127821; 90% interval: (-2.079830, 1.905225)
320: RickFehr -0.127141; 90% interval: (-1.577249, 1.481256)
321: CaseyMartin -0.114267; 90% interval: (-1.904404, 1.689895)
322: KrisMoe -0.111643; 90% interval: (-2.200781, 1.961186)
323: MikeGrob -0.100732; 90% interval: (-0.908727, 0.731033)
324: EdFryatt -0.096750; 90% interval: (-2.274771, 1.965114)
325: GeneSauers -0.093508; 90% interval: (-0.692198, 0.456462)
326: JasonCaron -0.092940; 90% interval: (-2.138870, 1.859930)
327: ClintJensen -0.084589; 90% interval: (-2.265182, 2.048362)
328: DavidSutherland -0.083864; 90% interval: (-0.915174, 0.709105)
329: EstebanToledo -0.069432; 90% interval: (-0.611126, 0.442637)
330: BrendanJones -0.059636; 90% interval: (-1.706877, 1.595615)
331: MarkWiebe -0.056886; 90% interval: (-1.476394, 1.237800)
332: JimMcGovern -0.054726; 90% interval: (-0.998884, 0.855665)
333: TimFleming -0.046659; 90% interval: (-2.423858, 2.106298)
334: DonnieHammond -0.043529; 90% interval: (-0.792256, 0.875080)
335: DirkAyers -0.041312; 90% interval: (-2.304443, 1.923394)
336: BradAdamonis -0.034619; 90% interval: (-2.249313, 2.115955)
337: TommyTolles -0.033175; 90% interval: (-0.656884, 0.591821)
338: KellyGibson -0.015606; 90% interval: (-0.844284, 0.969046)
339: HiroyukiFujita -0.011492; 90% interval: (-1.746798, 1.826528)
340: PaulLawrie 0.006705; 90% interval: (-1.310344, 1.344025)
341: PhilBlackmar 0.012466; 90% interval: (-2.201628, 2.064045)
342: GregMeyer 0.015010; 90% interval: (-1.919917, 2.051224)
343: KenDuke 0.017903; 90% interval: (-0.567479, 0.562797)
344: GrantWaite 0.022962; 90% interval: (-0.541289, 0.587872)
345: JonMills 0.023981; 90% interval: (-1.806196, 2.183674)
346: DavidOgrin 0.034645; 90% interval: (-1.635667, 1.797584)
347: MarkBrooks 0.035541; 90% interval: (-0.562133, 0.621480)
348: GregKraft 0.038060; 90% interval: (-1.453415, 1.533959)
349: TomKite 0.044177; 90% interval: (-2.129304, 2.182845)
350: JohnE.Morgan 0.052189; 90% interval: (-0.820088, 0.769506)
351: RonSkayhan 0.061458; 90% interval: (-2.216394, 1.974240)
352: JerryHaas 0.062883; 90% interval: (-2.001343, 2.186779)
353: DanPohl 0.064851; 90% interval: (-1.550447, 1.445232)
354: DavidLundstrom 0.068623; 90% interval: (-1.645765, 1.791630)
355: MichaelClarkII 0.069369; 90% interval: (-0.720968, 0.869308)
356: GabrielHjertstedt 0.073261; 90% interval: (-1.249943, 1.404956)
357: DavidFaught 0.090294; 90% interval: (-1.598087, 1.816812)
358: BradElder 0.094024; 90% interval: (-1.756206, 2.358183)
359: GeoffreySisk 0.120447; 90% interval: (-1.576295, 1.798196)
360: JeffCoston 0.125741; 90% interval: (-1.879789, 2.174940)
361: StephenWoodard 0.136618; 90% interval: (-1.831399, 2.290520)
362: NickFlanagan 0.144362; 90% interval: (-1.022950, 1.243497)
363: SeanMurphy 0.145359; 90% interval: (-1.257129, 1.731335)
364: JamieNeher 0.151749; 90% interval: (-1.862809, 2.424469)
365: JCAnderson 0.157638; 90% interval: (-1.938264, 2.352917)
366: NathanFritz 0.177919; 90% interval: (-1.982514, 2.097079)
367: JJWall 0.181380; 90% interval: (-1.903725, 2.362560)
368: JoeAffrunti 0.197403; 90% interval: (-1.197739, 1.771572)
369: DavidBerganio,Jr. 0.197535; 90% interval: (-1.354276, 1.773322)
370: KenGreen 0.200270; 90% interval: (-0.664725, 1.123711)
371: MarcoRuiz 0.202076; 90% interval: (-2.008364, 2.459846)
372: ScottHeyn 0.203224; 90% interval: (-1.830650, 2.273391)
373: DavidMorlandIV 0.203874; 90% interval: (-0.400527, 0.748450)
374: ToddBarranger 0.205863; 90% interval: (-1.796690, 2.320220)
375: RichardScott 0.209212; 90% interval: (-1.985133, 2.106310)
376: DarrenFichardt 0.216988; 90% interval: (-1.882932, 2.200293)
377: JimGallagher,Jr. 0.233031; 90% interval: (-0.660513, 1.295658)
378: RobertHamilton 0.234040; 90% interval: (-1.880572, 2.544902)
379: BradLardon 0.240008; 90% interval: (-0.527553, 0.943006)
380: ScottHarrington 0.246790; 90% interval: (-1.741223, 2.340052)
381: DonYrene 0.251493; 90% interval: (-1.613791, 1.662270)
382: Per-UlrikJohansson 0.262230; 90% interval: (-0.556371, 1.107733)
383: DarrellKestner 0.267506; 90% interval: (-1.824283, 2.547696)
384: TimThelen 0.279964; 90% interval: (-1.019239, 1.571913)
385: JimmyGreen 0.290467; 90% interval: (-1.874755, 2.508995)
386: JerrySmith 0.298048; 90% interval: (-1.662488, 2.666617)
387: EliZackheim 0.301071; 90% interval: (-1.842288, 2.578802)
388: MikeSpringer 0.309340; 90% interval: (-0.611401, 1.239291)
389: BrianWatts 0.342439; 90% interval: (-0.658118, 1.295290)
390: BrockMackenzie 0.345206; 90% interval: (-1.100690, 1.889932)
391: WillieWood 0.346439; 90% interval: (-0.605686, 1.248885)
392: GuyBoros 0.349996; 90% interval: (-0.279228, 1.045020)
393: BobHeintz 0.371784; 90% interval: (-1.781035, 2.463354)
394: JeffGove 0.380716; 90% interval: (-1.972154, 2.422484)
395: KevinStreelman 0.381159; 90% interval: (-1.887488, 2.517130)
396: AndyMorse 0.397202; 90% interval: (-1.714883, 2.405846)
397: StevenTate 0.398566; 90% interval: (-2.006435, 2.561450)
398: JohnConnelly 0.412511; 90% interval: (-1.763182, 2.320149)
399: AlanSchulte 0.419752; 90% interval: (-1.714931, 2.485901)
400: BryceMolder 0.440920; 90% interval: (-1.108057, 1.853148)
401: DavidHowser 0.443535; 90% interval: (-1.776643, 2.614444)
402: IanWoosnam 0.446176; 90% interval: (-1.264405, 2.250135)
403: JayOverton 0.468592; 90% interval: (-1.530694, 2.627096)
